Crop,Problem,State
Sugarcane (Noble Cane),red rot,UTTAR PRADESH
Sugarcane (Noble Cane),leaf scald,UTTAR PRADESH
Sugarcane (Noble Cane),wilt,UTTAR PRADESH
Sunflower (suryamukhi),caterpillar,TAMILNADU
Sunflower (suryamukhi),blight,PUNJAB
Sunflower (suryamukhi),Alternaria,KARNATAKA
Sunflower (suryamukhi),rust,KARNATAKA
Sunflower (suryamukhi),white mold,WEST BENGAL
Sweet Potato,mold rot,CHHATTISGARH
Sweet Potato,catterpillar,MAHARASHTRA
Sweet Potato,white gurb,RAJASTHAN
Sweet Potato,catterpillar,HIMACHAL PRADESH
Sweet Potato,termite,RAJASTHAN
Tea,termite,ASSAM
Tea,red rust,ASSAM
Tea,mite,ASSAM
Tea,yellowing,ASSAM
Tea,catterpillar,WEST BENGAL
Teak,blight,TAMILNADU
Teak,catterpillar,MAHARASHTRA
Teak,rust,ODISHA
Teak,powdery mildew,BIHAR
Teak,rust,UTTAR PRADESH
Tobacco,fungus,GUJARAT
Tobacco,damping off,UTTAR PRADESH
Tobacco,leaf blight,UTTAR PRADESH
Tobacco,wilt,UTTAR PRADESH
Tobacco,mosaic,DELHI
Tomato,blight,HIMACHAL PRADESH
Tomato,mealybug,TAMILNADU
Tomato,sucking pest,MADHYA PRADESH
Tomato,wilt,HIMACHAL PRADESH
Tomato,blight,ANDHRA PRADESH
Turmeric,leaf spot,ANDHRA PRADESH
Turmeric,dry rot,MAHARASHTRA
Turmeric,wilt,MAHARASHTRA
Turmeric,blight,MAHARASHTRA
Turmeric,leaf spot,TAMILNADU
Turnip (Saljam),sucking pest,GUJARAT
Turnip (Saljam),blight,RAJASTHAN
Turnip (Saljam),fungus,GUJARAT
Turnip (Saljam),damping off,BIHAR
Turnip (Saljam),cercospora spot,ASSAM
Vanilla,stem rot,KERALA
Vanilla,thrips,RAJASTHAN
Vanilla,bean rot,KERALA
Vanilla,mosaic,KERALA
Vanilla,fungus,KERALA
Watermelon,fungus,GUJARAT
Watermelon,mite,TELANGANA
Watermelon,beetle,ODISHA
Watermelon,leaf curl,ODISHA
Watermelon,sucking pest,TAMILNADU
Wheat,powdery mildew,PUNJAB
Wheat,termite,RAJASTHAN
Wheat,fungus,MADHYA PRADESH
Wheat,black rust,RAJASTHAN
Wheat,yellow rust,HARYANA
White Clover (Shaftal),fungus,UTTAR PRADESH
White Clover (Shaftal),mosaic,PUNJAB
White Clover (Shaftal),chewing pest,ODISHA
White Clover (Shaftal),root rot,PUNJAB
White Clover (Shaftal),aphids,ANDHRA PRADESH
fodder maize,leaf spot,GUJARAT
fodder maize,stem borer,PUNJAB
fodder maize,blight,PUNJAB
fodder maize,rust,TAMILNADU
fodder maize,cutworm,JAMMU AND KASHMIR
fodder sorghum,downy mildew,TAMILNADU
fodder sorghum,smut,PUNJAB
fodder sorghum,stem borer,PUNJAB
fodder sorghum,termite,RAJASTHAN
fodder sorghum,fungus,RAJASTHAN
lobia,yellowing,BIHAR
lobia,aphid,PUNJAB
lobia,sucking pest,UTTAR PRADESH
lobia,blight,HIMACHAL PRADESH
lobia,thrips,CHHATTISGARH
